ID,Plot,Species,Aboveground,Belowground,Height (cm),Diameter Base (cm),TotalDryMass,Total Branches (g),Total Petioles (g),Stem (g), Roots (g),TotalLeafMass,LeafAveMass,DryMass.1,DryMass.2,DryMass.3,DryMass.4,DryMass.5,DryMass.6,DryMass.7,DryMass.8,DryMass.9,DryMass.10,DryMass.11,DryMass.12,DryMass.13,DryMass.14,DryMass.15,DryMass.16,DryMass.17,DryMass.18,DryMass.19,DryMass.20,DryMass.21,DryMass.22,DryMass.23,DryMass.24,DryMass.25,DryMass.26,DryMass.27,DryMass.28,DryMass.29,DryMass.30,DryMass.31,DryMass.32,DryMass.33,DryMass.34,DryMass.35,DryMass.36,DryMass.37,DryMass.38
11,6.3,Sapindus saponaria,Covered,Protected,10,0.3,0.33,,0.01,0.1,0.16,0.06,0.02,0.03,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,6.3,Sapindus saponaria,Covered,Protected,14,0.3,0.27,,0.04,0.1,0.09,0.04,0.02,0.03,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,6.3,Sapindus saponaria,Exposed,Unprotected,13,0.4,1.27,,0.01,0.38,0.52,0.36,0.05,0.07,0.17,0.04,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,6.3,Sapindus saponaria,Covered,Unprotected,14,0.3,0.64,,0.01,0.23,0.18,0.22,0.03,0.04,0.03,0.03,0.03,0.03,0.03,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,8.2,Sapindus saponaria,Exposed,Protected,66,1.3,52.06,,0.82,19.71,18.58,12.95,0.54,0.13,0.42,0.36,0.94,0.79,1.27,0.98,0.82,0.89,0.98,0.66,0.76,0.71,0.52,0.3,0.46,0.38,0.52,0.47,0.12,0.14,0.1,0.16,0.07,,,,,,,,,,,,,,
63,8.2,Cymbopetalum baillonii,Exposed,Unprotected,32,1.2,10.3,0.15,,3.44,3.46,3.25,0.30,0.25,0.41,0.23,0.25,0.28,0.27,0.03,0.47,0.38,0.21,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,8.2,Sapindus saponaria,Exposed,Unprotected,10,0.4,1.45,,0.05,0.34,0.59,0.47,0.08,0.06,0.12,0.03,0.1,0.08,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,8.2,Cymbopetalum baillonii,Exposed,Unprotected,26,0.5,2.03,0.2,,1.23,0.38,0.22,0.04,0.09,0.05,0.05,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,10.2,Cymbopetalum baillonii,Exposed,Protected,44,0.9,11.19,0.87,,2.64,2.47,5.21,0.16,0.53,0.51,0.28,0.33,0.54,0.22,0.29,0.13,0.17,0.16,0.16,0.25,0.16,0.34,0.11,0.09,0.1,0.07,0.03,0.05,0.04,0.04,0.13,0.03,0.04,0.03,0.09,0.09,0.11,0.04,0.04,0.01,,,,,,
84,10.2,Cymbopetalum baillonii,Exposed,Protected,47,1.1,27.37,1.18,,8.73,8.26,9.2,0.24,0.69,0.75,0.37,0.74,0.61,0.47,0.31,0.33,0.34,0.43,0.56,0.22,0.31,0.23,0.15,0.32,0.19,0.12,0.17,0.19,0.13,0.1,0.11,0.13,0.21,0.11,0.11,0.11,0.1,0.06,0.08,0.07,0.05,0.08,0.06,0.05,0.07,0.07
85,10.2,Cymbopetalum baillonii,Exposed,Protected,10,0.3,0.55,0.01,,0.13,0.19,0.22,0.02,0.05,0.05,0.04,0.02,0.02,0.01,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,10.2,Sapindus saponaria,Exposed,Protected,50,1,4.99,,0.09,1.3,2,1.6,0.09,0.07,0.04,0.01,0.22,0.17,0.12,0.09,0.09,0.09,0.2,0.16,0.09,0.08,0.03,0.04,0.05,0.05,,,,,,,,,,,,,,,,,,,,,
87,10.2,Cymbopetalum baillonii,Exposed,Protected,50,1,18.43,1.08,,6,4.83,6.52,0.21,0.55,0.47,0.2,0.19,0.5,0.51,0.57,0.52,0.44,0.38,0.27,0.18,0.16,0.14,0.13,0.15,0.18,0.14,0.13,0.09,0.11,0.08,0.1,0.1,0.04,0.04,0.04,0.03,0.02,0.03,0.03,,,,,,,
88,10.2,Cymbopetalum baillonii,Exposed,Protected,35,0.9,12.13,0.57,,3.85,3.59,4.12,0.15,0.32,0.37,0.28,0.32,0.29,0.27,0.18,0.17,0.2,0.12,0.19,0.14,0.18,0.23,0.12,0.07,0.08,0.06,0.1,0.1,0.06,0.05,0.06,0.05,0.04,0.04,0.02,0.01,,,,,,,,,,
91,10.2,Sapindus saponaria,Covered,Protected,26,0.4,2.15,,0.06,0.75,0.79,0.55,0.08,0.1,0.12,0.05,0.07,0.15,0.03,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,10.2,Cymbopetalum baillonii,Covered,Protected,26,0.4,0.57,0.01,,0.17,0.23,0.16,0.03,0.05,0.03,0.03,0.02,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,10.2,Cymbopetalum baillonii,Covered,Protected,20,0.4,0.58,0.01,,0.19,0.1,0.28,0.03,0.03,0.06,0.04,0.03,0.03,0.04,0.03,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,10.2,Sapindus saponaria,Covered,Protected,10,0.2,0.24,,0.01,0.1,0.05,0.08,0.02,0.03,0.02,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,10.2,Sapindus saponaria,Exposed,Unprotected,38,10,24.81,,0.44,9.31,7.52,7.54,0.40,0.1,0.67,0.89,0.84,0.67,0.71,0.35,0.17,0.15,0.19,0.39,0.15,0.13,0.54,0.44,0.25,0.55,0.34,0.01,,,,,,,,,,,,,,,,,,,
126,15.3,Sapindus saponaria,Exposed,Protected,36,0.8,8.34,,0.62,2.52,1.86,3.34,0.17,0.21,0.48,0.32,0.47,0.45,0.14,0.11,0.14,0.12,0.18,0.09,0.05,0.08,0.04,0.07,0.03,0.03,0.02,0.08,0.23,,,,,,,,,,,,,,,,,,
128,15.3,Sapindus saponaria,Exposed,Protected,17,0.5,4.2,,0.11,1.62,1.37,1.1,0.11,0.15,0.1,0.04,0.13,0.19,0.11,0.15,0.06,0.06,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
