ID,Plot,Species,Aboveground,Belowground,Harvest Notes,Height (cm),Diameter Base (cm),TotalWetMass,Total Branches (g),Total Petioles (g),Stem (g), Roots (g),Leaf Count,LeafAveMass,TotalLeafMass,Area.1,AreaC.1,WetMass.1,TotArea.1,Area.2,AreaC.2,TotArea.2,WetMass.2,Area.3,AreaC.3,TotArea.3,WetMass.3,Area.4,AreaC.4,TotArea.4,WetMass.4,Area.5,AreaC.5,TotArea.5,WetMass.5,Area.6,AreaC.6,TotArea.6,WetMass.6,Area.7,AreaC.7,TotArea.7,WetMass.7,Area.8,AreaC.8,TotArea.8,WetMass.8,Area.9,AreaC.9,TotArea.9,WetMass.9,Area.10,AreaC.10,TotArea.10,WetMass.10,Area.11,AreaC.11,TotArea.11,WetMass.11,Area.12,AreaC.12,TotArea.12,WetMass.12,Area.13,AreaC.13,TotArea.13,WetMass.13,Area.14,AreaC.14,TotArea.14,WetMass.14,Area.15,AreaC.15,TotArea.15,WetMass.15,Area.16,AreaC.16,TotArea.16,WetMass.16,WetMass.17,WetMass.18,WetMass.19,WetMass.20,WetMass.21,WetMass.22,WetMass.23,WetMass.24,WetMass.25,WetMass.26,WetMass.27,WetMass.28,WetMass.29,WetMass.30,WetMass.31,WetMass.32,WetMass.33,WetMass.34,WetMass.35,WetMass.36,WetMass.37,WetMass.38,WetMass.39
11,6.3,Sapindus saponaria,Covered,Protected,,10,0.3,0.72,,0.01,0.27,0.31,4,0.033,0.130,6.593,3.468,0.01,10.061,,,0,0.07,,,0,0.01,,,0,0.04,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
14,6.3,Sapindus saponaria,Covered,Protected,,14,0.3,0.49,,0.01,0.25,0.16,2,0.035,0.070,11.589,7.553,0.04,19.142,,,0,0.03,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
21,6.3,Sapindus saponaria,Exposed,Unprotected,,13,0.4,2.46,,0.05,0.69,0.89,7,0.119,0.830,20.837,0.437,0.17,21.274,,,0,0.37,,,0,0.09,,,0,0.06,,,0,0.03,,,0,0.06,,,0,0.05,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
32,6.3,Sapindus saponaria,Covered,Unprotected,,14,0.3,1.44,,0.05,0.45,0.34,7,0.086,0.600,21.073,0.093,0.12,21.166,,,0,0.12,,,0,0.11,,,0,0.08,,,0,0.06,,,0,0.05,,,0,0.06,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
43,8.2,Sapindus saponaria,Exposed,Protected,,66,1.3,90.87,,1.8,28.6,28.8,24,1.320,31.670,138.928,0.113,1.41,139.041,,,0,0.33,,,0,1.07,,,0,1.72,,,0,0.7,,,0,0.21,,,0,0.25,,,0,0.33,,,0,0.4,,,0,1.16,,,0,0.9,,,0,1.42,,,0,1.12,,,0,0.22,,,0,1.86,,,0,1.66,2.37,2.19,2.04,2.31,3.02,1.85,2.25,0.88,,,,,,,,,,,,,,,
63,8.2,Cymbopetalum baillonii,Exposed,Unprotected,,32,1.2,19.80,0.42,,5.5,6,11,0.716,7.880,50.39,0.029,0.52,50.419,,,0,0.82,,,0,0.55,,,0,1.09,,,0,0.07,,,0,0.88,,,0,0.64,,,0,0.67,,,0,0.66,,,0,1.15,,,0,0.83,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
66,8.2,Sapindus saponaria,Exposed,Unprotected,,10,0.4,2.44,,0.09,0.56,1,6,0.132,0.790,24.915,4.573,0.19,29.488,,,0,0.2,,,0,0.12,,,0,0.11,,,0,0.14,,,0,0.03,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
68,8.2,Cymbopetalum baillonii,Exposed,Unprotected,,26,0.5,4.98,0.38,,2.82,0.82,6,0.160,0.960,27.06,0,0.45,27.06,17.918,3.195,21.113,0.27,15.456,27.093,42.549,0.17,1.291,0,1.291,0.03,,,0,0.03,,,0,0.01,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
83,10.2,Cymbopetalum baillonii,Exposed,Protected,Plant broke through,44,0.9,30.13,2.32,,5.68,6.18,33,0.483,15.950,66.7,0,1.28,66.7,56.445,0.012,56.457,0.95,63.93,0.074,64.004,1.24,31.834,3.859,35.693,0.51,,,0,1.09,,,0,1,,,0,0.88,,,0,0.26,,,0,1.06,,,0,0.74,43.077,0,43.077,0.74,, ,0,0.47,,,0,0.49,,,0,0.42,,,0,0.64,36.089,0.001,36.09,0.63,0.5,0.28,0.34,0.11,0.32,0.23,0.08,0.37,0.15,0.1,0.14,0.13,0.19,0.14,0.1,0.32,0.05,,,,,,
84,10.2,Cymbopetalum baillonii,Exposed,Protected,Plant broke through,47,1.1,64.26,3.33,,13.67,19.93,39,0.701,27.330,68.25,0.195,1.26,68.445,91.879,0.001,91.88,1.95,38.404,0,38.404,0.63,,,0,2.09,,,0,0.95,,,0,0.43,,,0,0.53,,,0,0.84,,,0,1.46,,,0,1.07,,,0,1.65,,,0,1.76,,,0,0.89,,,0,1.8,,,0,1.03,,,0,0.83,0.27,0.58,0.55,0.56,0.52,0.36,0.4,0.67,0.32,0.32,0.38,0.34,0.43,0.39,0.28,0.12,0.28,0.27,0.24,0.23,0.3,0.15,0.2
